"Timestamp","What is your gender?","Which age range do you fall under?","What is your current marital status?","What is your highest level of education?","What is your current employment status?","Which of the following is your primary telecom service provider?","On which of the following social media platforms do you have an account?","Which three of these options do you consider to be the biggest (possible) challenges while receiving customer support from a telecom company","Which of these social media platforms would you consider to be the best channel for sending a complaint to a telecom company?","On a scale of 1 - 5, how comfortable are you texting a chatbot when trying to receive customer support?","On a scale of 1 to 5, how content or satisfied are you with the customer support offered by your primary telecom service provider (that you chose in the first section)? ","On a scale 1 to 5, rate the average customer support offered by businesses in Uganda based on your experiences so far (complaints or requests for help)?","How essential to you would each of these features be in a customer support (care) platform? [should be a website]","How essential to you would each of these features be in a customer support (care) platform? [should be a mobile application]","How essential to you would each of these features be in a customer support (care) platform? [support live text chats with agents]","How essential to you would each of these features be in a customer support (care) platform? [support video call and screen sharing]","How essential to you would each of these features be in a customer support (care) platform? [support local languages]","How essential to you would each of these features be in a customer support (care) platform? [support sending images to customer support agent]","How essential to you would each of these features be in a customer support (care) platform? [offer a searchable self-help solutions knowledge base ]","How essential to you would each of these features be in a customer support (care) platform? [provide recommended solutions]","How essential to you would each of these features be in a customer support (care) platform? [show status on progress of my support request]","How essential to you would each of these features be in a customer support (care) platform? [schedule customer support appointments for later]","How essential to you would each of these features be in a customer support (care) platform? [rate and review customer support agents]","How essential to you would each of these features be in a customer support (care) platform? [have a discussion forum with fellow customers]","Which of these factors is most important to you when contacting customer support (customer care)?","How necessary do you think a mobile/web application dedicated to creating and managing your customer support complaints with various businesses, companies, institutions and government entities is to you? "
"2022/08/18 10:40:07 am GMT+3","Male","20 years - 35 years","Cohabiting","Undergraduate","Student","MTN","Email;WhatsApp;Twitter;Facebook;Telegram","Many steps have to be followed to talk to a customer care agent.;No/late responses to my customer support complaints on social media.;Connected to an agent with low technical knowledge needed to handle my issue.","Twitter","4","4","3","essential","not essential","essential","very essential","very essential","very essential","essential","very essential","very essential","very essential","essential","essential","Speed at which my issue is sorted.","Very necessary"
"2022/08/18 10:47:47 am GMT+3","Male","20 years - 35 years","Single","Undergraduate","Student","AIRTEL","Email;WhatsApp;Twitter;Telegram","Many steps have to be followed to talk to a customer care agent.;No/late responses to my customer support complaints on social media.;Connected to an agent with low technical knowledge needed to handle my issue.","WhatsApp","1","3","3","essential","I am not sure","essential","essential","very essential","essential","not essential","not essential","essential","not essential","essential","I am not sure","Speed at which my issue is sorted.","Very necessary"
"2022/08/18 10:58:09 am GMT+3","Male","20 years - 35 years","Single","Undergraduate","Student","AIRTEL","Email;WhatsApp;Twitter;Facebook;Telegram","Many steps have to be followed to talk to a customer care agent.;No/late responses to my customer support complaints on social media.;Connected to an agent with low technical knowledge needed to handle my issue.","Twitter","5","3","3","very essential","very essential","very essential","essential","very essential","very essential","very essential","very essential","very essential","very essential","essential","very essential","Speed at which my issue is sorted.","Very necessary"
"2022/08/18 11:00:25 am GMT+3","Male","20 years - 35 years","Single","Undergraduate","Self employed","AIRTEL","Email;WhatsApp;Twitter;Facebook;Telegram","Many steps have to be followed to talk to a customer care agent.;No/late responses to my customer support complaints on social media.;No/low availability of customer support agents late in the night.","Email","1","5","2","very essential","very essential","very essential","not essential","very essential","not essential","very essential","very essential","very essential","not essential","not essential","not essential","How easy it is for me to have my issue sorted.","Very necessary"
"2022/08/18 11:00:54 am GMT+3","Female","20 years - 35 years","Single","Secondary school","Student","MTN","Email;WhatsApp;Twitter;Facebook;Telegram","Many steps have to be followed to talk to a customer care agent.;No/late responses to my customer support complaints on social media.;Connected to an agent with low technical knowledge needed to handle my issue.","WhatsApp","5","4","3","not essential","not essential","very essential","very essential","very essential","not essential","very essential","very essential","very essential","very essential","very essential","very essential","Speed at which my issue is sorted.","Not necessary at all"
"2022/08/18 11:02:45 am GMT+3","Male","20 years - 35 years","Single","Secondary school","Student","MTN","Email;WhatsApp;Twitter;Telegram","Many steps have to be followed to talk to a customer care agent.;No/late responses to my customer support complaints on social media.;No/low availability of customer support agents late in the night.","Twitter","3","4","3","very essential","essential","very essential","essential","very essential","very essential","very essential","very essential","very essential","very essential","very essential","very essential","Speed at which my issue is sorted.","Very necessary"
"2022/08/18 11:04:37 am GMT+3","Male","20 years - 35 years","Single","Vocational college","Unemployed, looking for work","MTN","Email;WhatsApp;Twitter;Telegram","Many steps have to be followed to talk to a customer care agent.;Connected to an agent with low technical knowledge needed to handle my issue.;No/low availability of customer support agents late in the night.","Email","3","4","2","very essential","essential","I am not sure","not essential","essential","not essential","essential","essential","not essential","not essential","I am not sure","essential","How easy it is for me to have my issue sorted.","Very necessary"
"2022/08/18 11:10:33 am GMT+3","Female","20 years - 35 years","Single","Undergraduate","Student","AIRTEL","Email;WhatsApp;Twitter;Facebook;Telegram","Many steps have to be followed to talk to a customer care agent.;No/late responses to my customer support complaints on social media.;No/low availability of customer support agents over the weekends.","Email","3","2","2","I am not sure","essential","very essential","I am not sure","very essential","very essential","essential","very essential","very essential","essential","not essential","essential","How easy it is for me to have my issue sorted.","Very necessary"
"2022/08/18 11:18:32 am GMT+3","Male","20 years - 35 years","Single","Undergraduate","Student","AIRTEL","Email;WhatsApp;Twitter;Facebook;Telegram","Many steps have to be followed to talk to a customer care agent.;No/low availability of customer support agents late in the night.;No/low availability of customer support agents over the weekends.","Email","3","3","1","essential","essential","very essential","not essential","very essential","very essential","very essential","very essential","essential","essential","very essential","essential","Speed at which my issue is sorted.","Very necessary"
"2022/08/18 11:19:43 am GMT+3","Male","20 years - 35 years","Single","Undergraduate","Student","AIRTEL","Email;WhatsApp;Twitter;Facebook;Telegram","Many steps have to be followed to talk to a customer care agent.;No/late responses to my customer support complaints on social media.;Connected to an agent with low technical knowledge needed to handle my issue.","Twitter","3","3","3","not essential","not essential","very essential","essential","very essential","very essential","essential","very essential","very essential","not essential","essential","very essential","Speed at which my issue is sorted.","I am not sure"
"2022/08/18 11:25:06 am GMT+3","Female","20 years - 35 years","Single","Secondary school","Student","AIRTEL","Email;WhatsApp;Twitter;Facebook;Telegram","Many steps have to be followed to talk to a customer care agent.;No/low availability of customer support agents late in the night.;No/low availability of customer support agents over the weekends.","Twitter","2","3","3","very essential","very essential","very essential","very essential","very essential","very essential","very essential","very essential","very essential","very essential","very essential","very essential","Ability to have my issue sorted on my own (without having to talk to an agent or someone)","Very necessary"
"2022/08/18 11:31:39 am GMT+3","Male","20 years - 35 years","Single","Undergraduate","Student","MTN","Email;WhatsApp;Telegram","Many steps have to be followed to talk to a customer care agent.;No/low availability of customer support agents late in the night.;No/low availability of customer support agents over the weekends.","Twitter","1","4","3","essential","not essential","essential","not essential","essential","essential","very essential","very essential","very essential","essential","essential","I am not sure","How easy it is for me to have my issue sorted.","I am not sure"
"2022/08/18 11:45:36 am GMT+3","Female","20 years - 35 years","Single","Undergraduate","Student","AIRTEL","Email;WhatsApp;Facebook","Many steps have to be followed to talk to a customer care agent.;No/late responses to my customer support complaints on social media.;No/low availability of customer support agents late in the night.","Email","1","4","2","essential","very essential","not essential","not essential","very essential","essential","very essential","essential","not essential","I am not sure","essential","I am not sure","Speed at which my issue is sorted.","I am not sure"
"2022/08/18 11:49:24 am GMT+3","Female","20 years - 35 years","Single","Undergraduate","Student","Lyca mobile","Email;WhatsApp;Facebook;Telegram","No/late responses to my customer support complaints on social media.;Connected to an agent with low technical knowledge needed to handle my issue.;No/low availability of customer support agents late in the night.","WhatsApp","2","4","1","not essential","not essential","essential","not essential","very essential","very essential","very essential","very essential","very essential","very essential","very essential","very essential","Speed at which my issue is sorted.","I am not sure"
"2022/08/18 12:07:15 pm GMT+3","Female","20 years - 35 years","Single","Vocational college","Student","MTN","Email;WhatsApp;Twitter;Telegram","Many steps have to be followed to talk to a customer care agent.;No/late responses to my customer support complaints on social media.;Connected to an agent with low technical knowledge needed to handle my issue.","Twitter","4","5","3","I am not sure","very essential","not essential","I am not sure","very essential","very essential","not essential","not essential","very essential","not essential","essential","I am not sure","Speed at which my issue is sorted.","Very necessary"
"2022/08/18 12:11:22 pm GMT+3","Male","20 years - 35 years","Single","Secondary school","Student","MTN","Email;WhatsApp;Twitter;Facebook;Telegram","Many steps have to be followed to talk to a customer care agent.;No/late responses to my customer support complaints on social media.;No/low availability of customer support agents late in the night.","WhatsApp","4","4","3","very essential","I am not sure","very essential","I am not sure","very essential","very essential","very essential","very essential","very essential","very essential","very essential","very essential","How easy it is for me to have my issue sorted.","Very necessary"
"2022/08/18 12:16:59 pm GMT+3","Male","20 years - 35 years","Single","Undergraduate","Student","AIRTEL","Email;WhatsApp;Twitter;Facebook;Telegram","Many steps have to be followed to talk to a customer care agent.;Connected to an agent with low technical knowledge needed to handle my issue.;No/low availability of customer support agents late in the night.","Twitter","5","4","4","not essential","not essential","very essential","very essential","very essential","very essential","very essential","essential","very essential","essential","very essential","I am not sure","Ability to have my issue sorted on my own (without having to talk to an agent or someone)","Very necessary"
"2022/08/18 12:19:23 pm GMT+3","Female","20 years - 35 years","Single","Undergraduate","Student","MTN","Email;WhatsApp;Twitter;Telegram","Many steps have to be followed to talk to a customer care agent.;No/late responses to my customer support complaints on social media.;Connected to an agent with low technical knowledge needed to handle my issue.","Twitter","5","4","4","not essential","essential","very essential","not essential","essential","essential","very essential","essential","very essential","very essential","very essential","not essential","Ability to have my issue sorted on my own (without having to talk to an agent or someone)","I am not sure"
"2022/08/18 12:20:48 pm GMT+3","Male","20 years - 35 years","Single","Undergraduate","Student","MTN","Email;WhatsApp;Twitter;Facebook;Telegram","Many steps have to be followed to talk to a customer care agent.;No/late responses to my customer support complaints on social media.;No other ","WhatsApp","5","5","3","not essential","not essential","very essential","essential","essential","very essential","very essential","very essential","very essential","essential","very essential","very essential","How easy it is for me to have my issue sorted.","Very necessary"
"2022/08/18 12:32:25 pm GMT+3","Female","20 years - 35 years","Cohabiting","Post graduate and above","Unemployed, looking for work","MTN","Email;WhatsApp;Twitter;Facebook;Telegram","No/late responses to my customer support complaints on social media.;No/low availability of customer support agents late in the night.;No/low availability of customer support agents over the weekends.","Calls","5","4","4","not essential","not essential","essential","essential","very essential","essential","essential","very essential","very essential","essential","very essential","very essential","Speed at which my issue is sorted.","Very necessary"
"2022/08/18 12:41:40 pm GMT+3","Male","20 years - 35 years","Single","Undergraduate","Student","MTN","Twitter","Many steps have to be followed to talk to a customer care agent.;No/late responses to my customer support complaints on social media.;No/low availability of customer support agents late in the night.","Twitter","3","5","3","very essential","very essential","essential","I am not sure","very essential","essential","essential","very essential","very essential","essential","very essential","very essential","Speed at which my issue is sorted.","Very necessary"
"2022/08/18 12:58:09 pm GMT+3","Female","20 years - 35 years","Single","Secondary school","Student","AIRTEL","Email;WhatsApp;Twitter;Facebook;Telegram","Many steps have to be followed to talk to a customer care agent.;No/late responses to my customer support complaints on social media.;Connected to an agent with low technical knowledge needed to handle my issue.","WhatsApp","3","1","1","essential","essential","essential","essential","essential","essential","essential","essential","essential","essential","essential","essential","Speed at which my issue is sorted.","Very necessary"
"2022/08/18 12:59:32 pm GMT+3","Male","20 years - 35 years","Married","Undergraduate","Self employed","AIRTEL","Email;WhatsApp;Twitter;Facebook","Many steps have to be followed to talk to a customer care agent.;No/late responses to my customer support complaints on social media.;No/low availability of customer support agents late in the night.","Twitter","3","3","3","very essential","essential","essential","essential","not essential","essential","essential","not essential","essential","not essential","essential","essential","Speed at which my issue is sorted.","Very necessary"
"2022/08/18 1:02:09 pm GMT+3","Male","20 years - 35 years","Single","Undergraduate","Student","MTN","Email;WhatsApp;Twitter;Facebook;Telegram","No/late responses to my customer support complaints on social media.;Connected to an agent with low technical knowledge needed to handle my issue.;No/low availability of customer support agents late in the night.","Twitter","4","5","3","not essential","essential","very essential","very essential","very essential","very essential","very essential","very essential","I am not sure","I am not sure","not essential","I am not sure","Speed at which my issue is sorted.","Not necessary at all"
"2022/08/18 1:03:02 pm GMT+3","Male","20 years - 35 years","Married","Undergraduate","Self employed","AIRTEL","Email;WhatsApp;Twitter;Facebook","Many steps have to be followed to talk to a customer care agent.;Connected to an agent with low technical knowledge needed to handle my issue.;No/low availability of customer support agents late in the night.","WhatsApp","4","3","3","not essential","very essential","very essential","not essential","very essential","very essential","very essential","very essential","very essential","very essential","very essential","very essential","Speed at which my issue is sorted.","Very necessary"
"2022/08/18 1:05:29 pm GMT+3","Male","20 years - 35 years","Single","Undergraduate","Student","MTN","Email;WhatsApp;Twitter;Facebook;Telegram","Many steps have to be followed to talk to a customer care agent.;No/late responses to my customer support complaints on social media.;Connected to an agent with low technical knowledge needed to handle my issue.","Twitter","4","3","4","essential","not essential","very essential","very essential","very essential","very essential","very essential","very essential","very essential","very essential","very essential","very essential","Speed at which my issue is sorted.","Not necessary at all"
"2022/08/18 1:14:30 pm GMT+3","Female","20 years - 35 years","Single","Undergraduate","Student","AIRTEL","Email;WhatsApp;Twitter;Facebook;Telegram","Many steps have to be followed to talk to a customer care agent.;No/low availability of customer support agents late in the night.;No/low availability of customer support agents over the weekends.","Twitter","3","4","4","very essential","essential","essential","very essential","very essential","I am not sure","very essential","very essential","essential","not essential","very essential","essential","Speed at which my issue is sorted.","Very necessary"
"2022/08/18 1:22:34 pm GMT+3","Male","20 years - 35 years","Single","Undergraduate","Student","AIRTEL","Email;WhatsApp;Twitter;Facebook;Telegram","No/late responses to my customer support complaints on social media.;Connected to an agent with low technical knowledge needed to handle my issue.;No/low availability of customer support agents late in the night.","Phone call","4","5","5","very essential","essential","very essential","essential","not essential","essential","I am not sure","not essential","I am not sure","essential","I am not sure","very essential","Speed at which my issue is sorted.","Very necessary"
"2022/08/18 1:22:36 pm GMT+3","Female","20 years - 35 years","Single","Post graduate and above","Employed on a salary","MTN","Email;WhatsApp;Facebook","Many steps have to be followed to talk to a customer care agent.;No/low availability of customer support agents over the weekends.","WhatsApp","2","4","4","not essential","essential","very essential","not essential","essential","not essential","essential","essential","essential","essential","very essential","not essential","How easy it is for me to have my issue sorted.","Very necessary"
"2022/08/18 1:25:51 pm GMT+3","Female","20 years - 35 years","Single","Undergraduate","Self employed","AIRTEL","WhatsApp;Telegram","Many steps have to be followed to talk to a customer care agent.;Connected to an agent with low technical knowledge needed to handle my issue.;No/low availability of customer support agents late in the night.","call","3","4","4","very essential","very essential","very essential","very essential","very essential","very essential","very essential","very essential","very essential","very essential","very essential","very essential","Speed at which my issue is sorted.","Very necessary"
"2022/08/18 1:26:11 pm GMT+3","Male","20 years - 35 years","Single","Undergraduate","Student","AIRTEL","WhatsApp;Twitter","Many steps have to be followed to talk to a customer care agent.;No/late responses to my customer support complaints on social media.;No/low availability of customer support agents late in the night.","Email","3","3","3","I am not sure","essential","I am not sure","I am not sure","I am not sure","not essential","not essential","not essential","not essential","not essential","not essential","I am not sure","Speed at which my issue is sorted.","I am not sure"
"2022/08/18 1:29:15 pm GMT+3","Male","20 years - 35 years","Single","Undergraduate","Employed on a salary","MTN","Email;WhatsApp;Twitter;Facebook;Telegram","Many steps have to be followed to talk to a customer care agent.;No/late responses to my customer support complaints on social media.;Connected to an agent with low technical knowledge needed to handle my issue.","WhatsApp","3","3","3","essential","essential","very essential","very essential","essential","essential","very essential","essential","very essential","not essential","essential","I am not sure","Speed at which my issue is sorted.","Very necessary"
"2022/08/18 1:30:31 pm GMT+3","Male","20 years - 35 years","Single","Undergraduate","Student","MTN","WhatsApp","Many steps have to be followed to talk to a customer care agent.;No/late responses to my customer support complaints on social media.;Connected to an agent with low technical knowledge needed to handle my issue.","Twitter","1","3","2","essential","essential","very essential","essential","very essential","essential","essential","essential","very essential","not essential","essential","essential","How easy it is for me to have my issue sorted.","Very necessary"
"2022/08/18 1:33:38 pm GMT+3","Male","20 years - 35 years","Single","Undergraduate","Student","MTN","Email;WhatsApp;Twitter;Facebook;Telegram","Many steps have to be followed to talk to a customer care agent.;Connected to an agent with low technical knowledge needed to handle my issue.;No/low availability of customer support agents over the weekends.","Twitter","2","3","3","very essential","very essential","very essential","very essential","essential","essential","essential","very essential","essential","not essential","essential","very essential","Speed at which my issue is sorted.","Very necessary"
"2022/08/18 1:34:33 pm GMT+3","Male","20 years - 35 years","Single","Undergraduate","Student","AIRTEL","Email;WhatsApp;Twitter;Facebook;Telegram","Many steps have to be followed to talk to a customer care agent.;No/late responses to my customer support complaints on social media.;No/low availability of customer support agents late in the night.","Twitter","1","2","3","essential","very essential","essential","not essential","very essential","essential","essential","very essential","very essential","essential","very essential","essential","Speed at which my issue is sorted.","Very necessary"
"2022/08/18 1:45:05 pm GMT+3","Female","35 years - 45 years","Cohabiting","Post graduate and above","Employed on a salary","AIRTEL","Email;WhatsApp;Facebook","No/late responses to my customer support complaints on social media.;Connected to an agent with low technical knowledge needed to handle my issue.;No/low availability of customer support agents over the weekends.","Email","4","2","3","essential","very essential","essential","very essential","very essential","I am not sure","not essential","not essential","essential","very essential","essential","not essential","Speed at which my issue is sorted.","Very necessary"
"2022/08/18 1:54:53 pm GMT+3","Female","20 years - 35 years","Single","Undergraduate","Student","MTN","Email;WhatsApp;Twitter;Telegram","Many steps have to be followed to talk to a customer care agent.;No/late responses to my customer support complaints on social media.;No/low availability of customer support agents late in the night.","Email","3","5","3","essential","I am not sure","not essential","not essential","essential","not essential","very essential","very essential","essential","I am not sure","essential","very essential","How easy it is for me to have my issue sorted.","Very necessary"
"2022/08/18 1:55:50 pm GMT+3","Male","20 years - 35 years","Single","Undergraduate","Student","AIRTEL","Email;WhatsApp;Twitter;Facebook;Telegram","Many steps have to be followed to talk to a customer care agent.;No/late responses to my customer support complaints on social media.;No/low availability of customer support agents over the weekends.","Twitter","3","2","3","very essential","not essential","very essential","essential","very essential","essential","very essential","very essential","very essential","essential","essential","essential","Speed at which my issue is sorted.","Very necessary"
"2022/08/18 1:59:26 pm GMT+3","Female","20 years - 35 years","Single","Undergraduate","Student","AIRTEL","Email;WhatsApp;Twitter;Facebook;Telegram","Many steps have to be followed to talk to a customer care agent.;No/late responses to my customer support complaints on social media.;Connected to an agent with low technical knowledge needed to handle my issue.","Twitter","1","2","2","essential","very essential","very essential","essential","very essential","very essential","essential","very essential","very essential","essential","very essential","not essential","Speed at which my issue is sorted.","I am not sure"
"2022/08/18 2:00:58 pm GMT+3","Male","20 years - 35 years","Single","Undergraduate","Student","AIRTEL","WhatsApp","No/late responses to my customer support complaints on social media.;No/low availability of customer support agents late in the night.;No/low availability of customer support agents over the weekends.","Twitter","5","3","3","very essential","essential","very essential","very essential","very essential","very essential","essential","not essential","very essential","essential","very essential","not essential","Speed at which my issue is sorted.","Very necessary"
"2022/08/18 2:04:15 pm GMT+3","Female","20 years - 35 years","Single","Undergraduate","Student","MTN","Email;WhatsApp;Twitter;Facebook;Telegram","Many steps have to be followed to talk to a customer care agent.;No/late responses to my customer support complaints on social media.","Email","4","3","4","essential","not essential","very essential","essential","very essential","essential","very essential","very essential","very essential","I am not sure","essential","essential","Ability to have my issue sorted on my own (without having to talk to an agent or someone)","Very necessary"
